0habCSK64pzv6ukRgFQXmn;55.0;;ชยุดี วสวานนท์;10
34qU0b0yRjEzRJtknerEDS;108110.0;latin jazz|mambo|salsa|salsa colombiana|tropical;Sonora Carruseles;50
7BcyMcADGhD6WB6XFAJFEa;23840.0;c-pop|cantopop|hong kong hip hop;Fama;41
3tJnB0s6c3oXPq1SCCavnd;3779300.0;grupera|latin|latin pop|ranchera|regional mexican;Marco Antonio Solís;77
3pBvCynt1s5QElgsbyFdTg;2854.0;thai pop;Loso;32
1RM5gp0RFfjpJhCYFPB30p;282912.0;art rock|melancholia;Nick Cave;58
42cvgPJIjOZyxJHgF22apZ;53.0;;Bob Goldenbaum;4
3FPF6tyBTP79pCCAJDcPft;28162.0;country rock|folk|mellow gold|yacht rock;John Sebastian;38
6VxCmtR7S3yz4vnzsJqhSV;240887.0;australian indie|australian pop|folk-pop|modern rock|pop rock;Sheppard;67
3CR7n4hexD7pE3BRnLEDUJ;51559.0;afro soul|south african jazz|south african pop|xhosa;Ringo Madlingozi;35
5ZXCD32JVeJ08JNuWz5USb;18937.0;merengue|tropical;Tito Swing;33
4HvW0NM2QwnXGZXxLRuW1N;32300.0;latin alternative|mexican rock|rock en espanol;Kenny y los Eléctricos;48
3bypxSbj2INbe2BhKvg0Nv;53.0;;AKR-FITW;2
7uCNYKOeuyGcoxaP1Y095d;23156.0;;Yoandri;50
0G8byCYIfj5KtkipBDYrrL;3114.0;hard bop|jazz funk|jazz organ|soul jazz;Freddie Roach;15
3m38ZSwkLdeBDUhdGnFPrn;19609.0;atmospheric dnb|drum and bass|jungle|liquid funk;Adam F;40
6Ku2nSbcjRann6nTPimcFS;2874.0;canadian old school hip hop|toronto rap;Choclair;32
1Zgn8DDi8ema6uKufbQOdG;2030.0;;Brian Casey;49
1aN81MGtbv1o7EN3lLhmVk;7.0;;Ned Wright;2
4OUavLWUepaSy6MNjkNS3g;7364.0;progressive house|progressive trance|trance|uplifting trance;Factor B;39
6pyqxT57yY1F11mlZku6ae;5100.0;lebanese pop;Rahbani Brothers;12
